seq,lob_time,t_send,t_reflex,t_fpga,latency_gap_ns,reflex_act,fpga_score,final_dec
93,34202.269697512,164281744124058,164281744143134,0,-1,TAKE_LIQUIDITY,0.0,BUY
94,34202.272992647,164281764171760,164281764208288,0,-1,TAKE_LIQUIDITY,0.0,BUY
95,34202.383613299,164281784210625,164281784241673,0,-1,TAKE_LIQUIDITY,0.0,BUY
96,34202.383614811,164281804254249,164281804291869,0,-1,TAKE_LIQUIDITY,0.0,BUY
97,34202.383643886,164281824294977,164281824327328,0,-1,TAKE_LIQUIDITY,0.0,BUY
98,34202.491574399,164281844326388,164281844349652,0,-1,TAKE_LIQUIDITY,0.0,BUY
99,34202.491899451,164281864363360,164281864389649,0,-1,TAKE_LIQUIDITY,0.0,BUY
100,34202.565551981,164281884392627,164281884413716,0,-1,TAKE_LIQUIDITY,0.0,BUY
101,34202.579213337,164281904455807,164281904483179,0,-1,TAKE_LIQUIDITY,0.0,BUY
102,34202.682315289,164281924498500,164281924532553,0,-1,TAKE_LIQUIDITY,0.0,BUY
103,34202.682720418,164281944542003,164281944574995,0,-1,TAKE_LIQUIDITY,0.0,BUY
104,34202.737723008,164281964615103,164281964632094,0,-1,TAKE_LIQUIDITY,0.0,BUY
105,34202.75688423,164281984631916,164281984641434,0,-1,TAKE_LIQUIDITY,0.0,BUY
106,34203.011800486,164282004647598,164282004660292,0,-1,TAKE_LIQUIDITY,0.0,BUY
107,34203.011926972,164282024666535,164282024682726,0,-1,TAKE_LIQUIDITY,0.0,BUY
108,34203.011926972,164282044693628,164282044711732,0,-1,TAKE_LIQUIDITY,0.0,BUY
109,34203.011926972,164282064725761,164282064746169,0,-1,TAKE_LIQUIDITY,0.0,BUY
110,34203.012001355,164282084742775,164282084755118,0,-1,TAKE_LIQUIDITY,0.0,BUY
111,34203.012050158,164282104792991,164282104834699,0,-1,TAKE_LIQUIDITY,0.0,BUY
112,34203.012287906,164282124839801,164282124872653,0,-1,TAKE_LIQUIDITY,0.0,BUY
113,34203.08949192,164282144888234,164282144922378,0,-1,TAKE_LIQUIDITY,0.0,BUY
114,34203.122241619,164282164938290,164282164975961,0,-1,TAKE_LIQUIDITY,0.0,BUY
115,34203.132689191,164282184987805,164282185025356,0,-1,TAKE_LIQUIDITY,0.0,BUY
116,34203.295569158,164282205033703,164282205075241,0,-1,TAKE_LIQUIDITY,0.0,BUY
117,34203.295569158,164282225083609,164282225124546,0,-1,TAKE_LIQUIDITY,0.0,BUY
118,34203.295665697,164282245124318,164282245157179,0,-1,TAKE_LIQUIDITY,0.0,BUY
119,34203.295825553,164282265167621,164282265200352,0,-1,TAKE_LIQUIDITY,0.0,BUY
120,34203.295826267,164282285211375,164282285245910,0,-1,TAKE_LIQUIDITY,0.0,BUY
121,34203.324279569,164282305254338,164282305287200,0,-1,TAKE_LIQUIDITY,0.0,BUY
122,34203.324279569,164282325289236,164282325314914,0,-1,TAKE_LIQUIDITY,0.0,BUY
123,34203.32437532,164282345319835,164282345343930,0,-1,TAKE_LIQUIDITY,0.0,BUY
124,34203.407470515,164282365335807,164282365347229,0,-1,TAKE_LIQUIDITY,0.0,BUY
125,34203.600207608,164282385374812,164282385391965,0,-1,TAKE_LIQUIDITY,0.0,BUY
126,34203.600228364,164282405404260,164282405428235,0,-1,TAKE_LIQUIDITY,0.0,BUY
127,34203.600245629,164282425421264,164282425432936,0,-1,TAKE_LIQUIDITY,0.0,BUY
128,34203.954770435,164282445444950,164282445461451,0,-1,TAKE_LIQUIDITY,0.0,BUY
129,34204.105356795,164282465458989,164282465468888,0,-1,TAKE_LIQUIDITY,0.0,BUY
130,34204.127697885,164282485482345,164282485503565,0,-1,TAKE_LIQUIDITY,0.0,BUY
131,34204.328788797,164282505505280,164282505522041,0,-1,TAKE_LIQUIDITY,0.0,BUY
132,34204.328940476,164282525520190,164282525531912,0,-1,TAKE_LIQUIDITY,0.0,BUY
133,34204.328981067,164282545540651,164282545556460,0,-1,TAKE_LIQUIDITY,0.0,BUY
134,34204.36362978,164282565558937,164282565571060,0,-1,TAKE_LIQUIDITY,0.0,BUY
